회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2026,인천학익초등학교,1인수의,용역,AI디지털 선도학교 운영 교직원 에듀테크 (2명) 추가 구독,2026-07-23,400000,(주)아이젠테크,에듀테크
2026,산곡중학교,1인수의,물품,2026년 에듀테크 활용 소프트웨어(chat GPT 7월분) 구입,2026-07-22,26360,ChatGPT_NICE(구),에듀테크
2026,인천원당초등학교,1인수의,물품,AI 중점학교 운영 에듀테크 구입,2026-07-21,479000,(주)아이스크림미디어,에듀테크
2026,인천중산고등학교,1인수의,물품,2026 AI 교육코디네이터 에듀테크 구입,2026-07-20,198000,가온인테크,에듀테크
2026,인천영종고등학교,1인수의,물품,[카드] 전문적학습공동체(에듀테크 활용 수업 연구회) 교육활동 물품 구입비 지급,2026-07-15,235330,쿠팡(주),에듀테크
2026,인천연일학교,1인수의,물품,읽걷쓰AI 정책학교 교육활동 에듀테크(투닝) 구독(S2B),2026-07-14,729300,클라스온 주식회사,에듀테크
2026,인천학익초등학교,1인수의,용역,AI디지털 선도학교 운영 교직원 에듀테크(구글AI PRO) 5개월 구독,2026-07-14,3200000,(주)아이젠테크,에듀테크
2026,인천명현초등학교,1인수의,물품,[카드](AI디지털 활용 선도학교) 에듀테크활용수업연구회 전학공 협의회비 지급,2026-07-14,209000,무의랑물회랑 효성직영점,에듀테크
2026,선화여자중학교,1인수의,물품,2026 디지털 튜터 보조수업관련 에듀테크 지출(영상편집 프로그램),2026-07-14,303600,(주)보이저엑스,에듀테크
2026,인천원당초등학교,1인수의,물품,AI 중점학교 운영 에듀테크 구입,2026-07-13,396000,S2B(학교장터),에듀테크
2026,인천중산고등학교,1인수의,물품,AI 중점학교 수업 운영을 위한 에듀테크 구입 (07월) (2차 추가),2026-07-13,35000,가온인테크,에듀테크
2026,인천명현초등학교,1인수의,물품,[카드]2026학년도 1학기말 에듀테크 교육과정 운영 협의회비 지급,2026-07-13,514000,고박사참치광어,에듀테크
2026,인천해원고등학교,1인수의,물품,[카드]2026학년도 7월 인공지능기초 수업을 위한 에듀테크 구입(Chat GPT 사용),2026-07-12,30810,OpenAI,에듀테크
2026,인천세원고등학교,1인수의,물품,에듀테크용 소프트웨어 이용권 구입비 지급 (S2B),2026-07-09,1056000,주식회사 데이터드리븐,에듀테크
2026,인천경연중학교,1인수의,물품,(목)경연중 과학과 탐구기반 수업 에듀테크 구입,2026-07-08,132000,S2B 학교장터,에듀테크
2026,인천가현초등학교,1인수의,물품,AI기반 온라인 과학학습 혁신 프로그램 운영교사 에듀테크 구입,2026-07-07,150000,(주)아이젠테크,에듀테크
