계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
대구-291d93b5d280,물품,에듀테크 활용 교육활동 공간 구축 비디오프로젝터 구입,2023-01-25,108824550,대구광역시교육청 경원고등학교,경원고등학교,(주)창조시스템,7240074,고등학교,대구광역시,
대구-e8dd1325209e,물품,에듀테크 기반 개인별 수학 교과 학습이력 관리 프로그램 구입,2023-02-23,3600000,대구광역시교육청 현풍고등학교,현풍고등학교,주식회사 프리윌린,7240104,고등학교,대구광역시,
대구-3b88f6e0c881,물품,에듀테크 수업 동영상 자막이용 라이선스 구입,2023-02-22,410000,대구광역시교육청 호산고등학교,호산고등학교,주식회사 뱁션,7240283,고등학교,대구광역시,
대구-61c3edf106ca,물품,에듀테크 수업·업무를 위한 이미지 사용 라이선스 구입비 지급,2023-02-20,440000,대구광역시교육청 호산고등학교,호산고등학교,한국교원단체총연합회,7240283,고등학교,대구광역시,
대구-6b097a0e6a7c,물품,[G2B]에듀테크 활용 교육활동 공간 구축 비디오프로젝터 추가 조달 구입,2023-02-17,24500000,대구광역시교육청 경원고등학교,경원고등학교,주식회사 트리엠,7240074,고등학교,대구광역시,
대구-8b58cd7970ec,물품,에듀테크 외국어과 수업·평가를 위한 라이선스 구입비 지급,2023-02-17,1680000,대구광역시교육청 호산고등학교,호산고등학교,주식회사 클래스카드,7240283,고등학교,대구광역시,
대구-7cac69e0c3e8,물품,에듀테크활용 수업을 위한 온라인 플랫폼(클래스카드) 연 사용료 지출,2023-02-07,3130000,대구광역시교육청 대구국제고등학교,대구국제고등학교,주식회사 클래스카드,7240450,고등학교,대구광역시,
대구-f478b98ccf58,물품,에듀테크 프로그램(띵커벨) 구입,2023-03-22,480000,대구광역시교육청 대구장기초등학교,대구장기초등학교,(주)아이스크림미디어,7271098,초등학교,대구광역시,
대구-2aa9e600764d,물품,에듀테크 활용 블렌디드 수업을 위한 수업용 프로그램 구입비 지급,2023-03-16,715000,대구광역시교육청 대구죽곡초등학교,대구죽곡초등학교,젠소프트,7281034,초등학교,대구광역시,
대구-14ece1cbbea0,물품,에듀테크활용을 위한 디자인 제작도구(망고보드) 연간 계약,2023-03-06,560000,대구광역시교육청 대구국제고등학교,대구국제고등학교,(주)리아모어소프트,7240450,고등학교,대구광역시,
대구-6e505e4c20ed,물품,2023학년도 디지털 기반 스마트 선도학교 에듀테크 콘텐츠 구입(띵커벨),2023-04-26,180000,대구광역시교육청 학남중학교,학남중학교,(주)아이스크림미디어,7261028,중학교,대구광역시,
대구-db4cc0e12e99,물품,2023학년도 두드림학교 에듀테크 아이스크림 홈런 사용료 지급,2023-04-24,7584000,대구광역시교육청 대구고산초등학교,대구고산초등학교,(주)아이스크림에듀,7251081,초등학교,대구광역시,
대구-1c312486e5ab,물품,알쓸신상 수평공동체 수업운영 에듀테크 구입(패들렛),2023-04-14,303258,대구광역시교육청 경북여자상업고등학교,경북여자상업고등학교,삼성카드주식회사,7240296,고등학교,대구광역시,
대구-5f11ec7a7d4b,물품,알쓸신상 수평공동체 수업운영 에듀테크 구입(퀴즐렛),2023-05-16,153600,대구광역시교육청 경북여자상업고등학교,경북여자상업고등학교,삼성카드주식회사,7240296,고등학교,대구광역시,
대구-157c12d4c8cb,물품,[빛*]온라인 교육인프라 구축과 원활한 에듀테크 활용 수업을 위한 수업 ...,2023-05-09,9000000,대구광역시교육청 성명여자중학교,성명여자중학교,주식회사 빛나는교육,7251045,중학교,대구광역시,
대구-ba392c4c48a3,물품,1학년 영어과 수업 내 개별화 교육을 위한 에듀테크 프로그램 구입,2023-07-21,360000,대구광역시교육청 성서고등학교,성서고등학교,클래스카드,7240064,고등학교,대구광역시,
대구-755722830ba3,물품,2023학년도 에듀테크 활용 협력수업을 위한 크롬북 충전보관함 구입(나라 ...,2023-09-26,1990000,대구광역시교육청 대구비봉초등학교,대구비봉초등학교,(주)스마트엑세스,,,대구광역시,
대구-92a39ed2672a,물품,에듀테크 활용 수업을 위한 수학 소프트웨어 구입,2023-09-26,1500000,대구광역시교육청 경북공업고등학교,경북공업고등학교,주식회사 프리윌린,7240123,고등학교,대구광역시,
대구-bb0499cc46a3,물품,2023학년도 디지털 선도학교 에듀테크(원아워) 구독권 구입,2023-09-26,10000000,대구광역시교육청 소선여자중학교,소선여자중학교,주식회사 제로엑스플로우,7251046,중학교,대구광역시,
대구-3bd9b3d1b78c,물품,리딩앤 에듀테크 구입,2023-09-11,1000000,대구광역시교육청 대구도림초등학교,대구도림초등학교,주식회사 아이포트폴리오,7281037,초등학교,대구광역시,
대구-99f5a78e3d81,물품,(S2B)(디지털선도학교)코드모스 에듀테크 구입,2023-10-19,5730000,대구광역시교육청 대구도림초등학교,대구도림초등학교,주식회사 로지브라더스,7281037,초등학교,대구광역시,
대구-a129b88bac8d,물품,STEAM 선도학교 운영을 위한 에듀테크 프로그램 구입,2023-10-18,262500,대구광역시교육청 대구하빈초등학교,대구하빈초등학교,한국방송미디어사업단,7281029,초등학교,대구광역시,
대구-85b4823afdbe,물품,2023학년도 AI 코스웨어 활용 실천교사 에듀테크 도구 구입,2023-10-13,2640000,대구광역시교육청 대구삼덕초등학교,대구삼덕초등학교,(주)미리디,7251050,초등학교,대구광역시,
대구-ff2c78030a97,물품,2023년 디지털 선도학교 AI코스웨어 및 에듀테크 프로그램 구입(협업 프로 ...,2023-11-29,4070000,대구광역시교육청 대구신월초등학교,대구신월초등학교,주식회사 클라썸,7271106,초등학교,대구광역시,
대구-6e4799027a1a,물품,2023년 디지털 선도학교 AI코스웨어 및 에듀테크 프로그램 구입(VR 프로그램),2023-11-29,4998400,대구광역시교육청 대구신월초등학교,대구신월초등학교,제이로이,7271106,초등학교,대구광역시,
