계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
-9c8218b17896,물품,2025학년도 에듀테크 활용을 위한 기자재 구입비 지출,2026-02-19,857000,경상남도교육청 남지여자중학교,남지여자중학교,11번가,9141028,중학교,경상남도,
-bf77ce5f7741,물품,2025. 디지털 기반 학생맞춤 선도학교 에듀테크 라이센스 및 물품 구입비 지출,2026-01-26,129000,경상남도교육청 거류초등학교,거류초등학교,주식회사 지마켓,9161005,초등학교,경상남도,
-966a1bc09845,물품,AI 에듀테크 학습 도구 구입비 지출(패들렛),2026-01-23,537000,경상남도교육청 양산초등학교,양산초등학교,주식회사 모노플로우,9151021,초등학교,경상남도,
-55e32c59b50f,물품,디지털 기반 학생 맞춤교육 선도학교 운영을 위한 에듀테크 구입비 지급(구독료),2026-01-22,431000,경상남도교육청 웅상고등학교,웅상고등학교,올아이피정보통신,9010221,고등학교,경상남도,
-371bb115329b,물품,2025. 디지털 미디어 리터러시 교육 실천학교 에듀테크 구독,2026-01-22,240000,경상남도교육청 경진고등학교,경진고등학교,주식회사 클래스카드,9010280,고등학교,경상남도,
-9acc2fc07303,물품,2025학년도 행복학교 운영을 위한 에듀테크 구독,2026-01-15,400000,경상남도교육청 평산초등학교,평산초등학교,아이티존(주),,,경상남도,
-a5e3d39d04da,물품,2025. 디지털 기반 학생맞춤 선도학교 에듀테크 라이센스 및 물품 구입비 지출,2026-01-14,264000,경상남도교육청 거류초등학교,거류초등학교,주식회사 아이스크림미디어,9161005,초등학교,경상남도,
-ecb363636731,물품,2025. 디지털 기반 학생맞춤 선도학교 에듀테크 프로그램 사용료 지출,2026-01-13,2000000,경상남도교육청 거류초등학교,거류초등학교,주식회사 리딩게이트,9161005,초등학교,경상남도,
-fa75b3827e7d,물품,2025학년도 디지털기반 학생 맞춤교육 선도학교 에듀테크 구독료 지출,2026-01-08,1350000,경상남도교육청 창원신월고등학교,창원신월고등학교,테크빌교육(주),9010278,고등학교,경상남도,
-ded3e12d3215,물품,(본관동 3층 에듀테크실)관리이전 스탠드형 냉난방기 설치 관련 전기간선 공사,2026-01-07,868120,경상남도교육청 노산초등학교,노산초등학교,합자)대명이엔지,9081010,초등학교,경상남도,
-4092936e849b,물품,에듀테크(클리포) 연간 구독료 지급 요청,2026-01-06,6700000,경상남도교육청 충렬여자고등학교,충렬여자고등학교,주식회사 데이터드리븐,9010256,고등학교,경상남도,
-cdbd8b5e5eec,물품,2025. 디지털 교육혁신 선도학교 운영 에듀테크 구독료(클링 AI),2025-12-30,300000,경상남도교육청 창신중학교,창신중학교,아이티존(주),9022164,중학교,경상남도,
-eb4cb2d6f8b2,물품,2025학년도 행복학교 운영을 위한 에듀테크 구독,2025-12-29,159000,경상남도교육청 평산초등학교,평산초등학교,엔에이치엔케이씨피(주),,,경상남도,
-e3c63e42f50e,물품,에듀테크 프로그램 이용권 구입,2025-12-26,472000,경상남도교육청 샛별중학교,샛별중학교,아이티존(주),9211030,중학교,경상남도,
-17afaaee8011,물품,2025. 디지털 기반 학생 맞춤교육 선도학교 에듀테크 구독료 지출 건의,2025-12-24,234000,경상남도교육청 가촌초등학교,가촌초등학교,위즈메이트,9151149,초등학교,경상남도,
