계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
-7dd5bf64702d,물품,(원인)2026학년도 세종이도리더프로그램 에듀테크 구입(최단거리탐구팀),2026-07-27,148000,세종특별자치시교육청 고운고등학교,고운고등학교,가온이테크,9300178,고등학교,세종특별자치시,
-7510f9ae016d,물품,[S2B] AI중점학교 에듀테크 관련 프로그램(클로드) 구입,2026-07-10,252000,세종특별자치시교육청 한솔중학교,한솔중학교,S2B(학교장터_선결제),9300053,중학교,세종특별자치시,
-006ac6770a61,물품,[S2B-카드원행] 2026학년도 교사용 에듀테크 코스웨어 구입(클로드 1종),2026-06-26,148000,세종특별자치시교육청 종촌중학교,종촌중학교,가온인테크,9300176,중학교,세종특별자치시,
-ab25815c80ef,물품,2026년 AI 디지털 활용 선도학교 운영을 위한 에듀테크 구입(패들렛),2026-06-23,1169000,세종특별자치시교육청 솔빛초등학교,솔빛초등학교,위멘토피아,9300239,초등학교,세종특별자치시,
-a762ad434f06,물품,디지털활용선도학교 에듀테크(토도한글) 추가 구입비 지출,2026-06-19,94500,세종특별자치시교육청 나성초등학교,나성초등학교,아이티존(주),9300285,초등학교,세종특별자치시,
-a2c94cf0dcdb,물품,생성형 AI 및 에듀테크 소프트웨어 구입,2026-06-19,1005000,세종특별자치시교육청 부강중학교,부강중학교,바이에듀,9300052,중학교,세종특별자치시,
-9a24a04effbd,용역,2026학년도 AI·디지털 활용 선도학교 운영을 위한 에듀테크(클래스툴) 구입비 지급,2026-06-19,720000,세종특별자치시교육청 두루초등학교,두루초등학교,(주)아이스크림미디어,9300166,초등학교,세종특별자치시,
-24e57dc4066d,용역,2026학년도 AI·디지털 활용 선도학교 운영을 위한 에듀테크(띵커벨) 구입비 지급,2026-06-19,760000,세종특별자치시교육청 두루초등학교,두루초등학교,(주)아이스크림미디어,9300166,초등학교,세종특별자치시,
-b09b96b9e2a0,물품,[카드] 2026학년도 AI 디지털 선도학교 에듀테크 및 코스웨어 서비스 등 추가 구독(생,2026-06-18,1414300,세종특별자치시교육청 새롬고등학교,새롬고등학교,OPENAI *CHATGPT SUBSCR,9300219,고등학교,세종특별자치시,
-0e2a3df666d4,물품,(원인)2026학년도 세종이도리더프로그램 에듀테크구입(언제나초록불팀),2026-06-16,200000,세종특별자치시교육청 고운고등학교,고운고등학교,주식회사 교육의정석,9300178,고등학교,세종특별자치시,
-b137a01885ce,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(수페 플러스) 구입,2026-06-15,89000,세종특별자치시교육청 도담초등학교,도담초등학교,라기,9300105,초등학교,세종특별자치시,
-e7070164ccbf,물품,2026년 AI 디지털 활용 선도학교 운영을 위한 에듀테크 구입(패들렛),2026-06-15,1336000,세종특별자치시교육청 솔빛초등학교,솔빛초등학교,위멘토피아,9300239,초등학교,세종특별자치시,
-7294cdd6e293,물품,2026학년도 AI디지털 활용 선도학교 에듀테크(Claude) 구입비 지급,2026-06-15,2852670,세종특별자치시교육청 아름고등학교,아름고등학교,ANTROPIC*CLAUDE TEAM,9300117,고등학교,세종특별자치시,
-15aa6ee8a95c,물품,디지털활용선도학교 에듀테크(멘티미터) 사용료 지출,2026-06-12,280000,세종특별자치시교육청 나성초등학교,나성초등학교,가온인테크,9300285,초등학교,세종특별자치시,
-aa4742fee012,물품,[S2B] AI디지털활용 선도학교 관련 에듀테크 및 AI코스웨어 구입,2026-06-10,2163000,세종특별자치시교육청 조치원중학교,조치원중학교,올댓스쿨 주식회사,9300045,중학교,세종특별자치시,
-cda64abcba66,물품,디지털활용선도학교 에듀테크(키네마스터) 추가 사용료 지출,2026-06-08,3168000,세종특별자치시교육청 나성초등학교,나성초등학교,넥스터시스템즈 주식회사,9300285,초등학교,세종특별자치시,
-40abeef0b5e2,물품,"[카드] 2026학년도 AI 디지털 선도학교 에듀테크 서비스 구독(PADLET, 생성형 A",2026-06-07,817490,세종특별자치시교육청 새롬고등학교,새롬고등학교,PADLET.COM,9300219,고등학교,세종특별자치시,
-154f242da369,물품,[카드] 6월 5학년 AI 에듀테크 코스웨어 사용권 및 운영물품 구입,2026-06-01,166900,세종특별자치시교육청 의랑초등학교,의랑초등학교,주안테크,9300042,초등학교,세종특별자치시,
-ef06256b024b,물품,[S2B] 2026학년도 1학기 AI 중점학교 AI 코스웨어 및 에듀테크 추가 구입(클로드,2026-05-21,111000,세종특별자치시교육청 도담초등학교,도담초등학교,에듀포트,9300105,초등학교,세종특별자치시,
-bc43d099c6eb,물품,디지털활용선도학교 에듀테크(구글 제미나이) 사용료 지출,2026-05-13,4356000,세종특별자치시교육청 나성초등학교,나성초등학교,주안테크,9300285,초등학교,세종특별자치시,
-16aca95f1e83,물품,[S2B] 2026 AI 디지털 활용 선도학교] 에듀테크(패들렛) 구독,2026-05-12,5400000,세종특별자치시교육청 보람고등학교,보람고등학교,클라스온 주식회사,9300191,고등학교,세종특별자치시,
-55c316023474,물품,[2캠퍼스]2026학년도 학교단체용 및 교사 개인 교육활동 지원 에듀테크 구입_제미나이 프,2026-05-12,2112000,세종특별자치시교육청 아름중학교,아름중학교,바오스토어,9300116,중학교,세종특별자치시,
-66698e08c589,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(김킷 외 1종) 구입,2026-05-11,455000,세종특별자치시교육청 도담초등학교,도담초등학교,올아이피정보통신 주식회사,9300105,초등학교,세종특별자치시,
-89eb8aa5c239,물품,2026학년도 AI 중점학교 AI 코스웨어 및 에듀테크(워드월) 구입,2026-05-11,174400,세종특별자치시교육청 도담초등학교,도담초등학교,로그테크,9300105,초등학교,세종특별자치시,
