기관명,계약명,계약일,계약금액,계약상대자,키워드
동평초등학교,2026학년도 AI디지털활용 수업 물품 구입(에듀테크),2026-07-23,1980000,아이티솔루션,에듀테크
현대청운중학교,2026년 AI디지털 활용 선도학교 운영을 위한 에듀테크 링크원 구입,2026-06-16,7355000,아이티존(주),에듀테크
화진초등학교,학생용 에듀테크(디지털 창작 도구) 이용권 구입,2026-05-22,2052000,(주)아이스크림미디어,에듀테크
울산생활과학고등학교,[계약] 2026학년도 AIㆍ디지털 선도학교 교원 에듀테크 프로그램 구매 계약(S2B),2026-05-12,15180000,리프레쉬업,에듀테크
학성중학교,[카드] 2026학년도 에듀테크 활용 수업을 위한 온라인 플랫폼(이음AI) 구입비 지출,2026-05-08,1550000,(주)화이트소프트,에듀테크
내황초등학교,2026 AI디지털 선도학교 운영을 위한 에듀테크 구입(패들렛 등 2종),2026-04-29,5176800,테크빌교육(주),에듀테크
내황초등학교,2026 AI디지털 선도학교 운영을 위한 에듀테크 구입(젭퀴즈),2026-04-29,2100000,주식회사 젭,에듀테크
대송고등학교,[S2B]2026학년도 고교학점제 운영을 위한 교수학습 활동 에듀테크 도구 구입(패들렛 골,2026-04-28,3576000,원자,에듀테크
현대중학교,2026년 AI·디지털 활용 선도학교 -에듀테크 교육 플랫폼 구입(퀴즈앤 외 1종)(패들렛,2026-04-28,1350000,테크빌교육(티처몰),에듀테크
화진초등학교,선도학교 에듀테크 도구(팅커벨) 구입,2026-04-21,1200000,(주)아이스크림미디어,에듀테크
달천고등학교,2026학년도 정보과 관련 동아리 에듀테크 구입(카드),2026-04-13,1045700,(주)잇플 ITPLE,에듀테크
강동초등학교,[S2B]AI 코스웨어 기반 에듀테크 도구 구입비 지출,2026-02-13,3716000,위드테크,에듀테크
다운초등학교,디지털 기반 학생 맞춤형 선도학교 운영 코스웨어 및 에듀테크 구입(아트봉봉 그림심리검사),2025-12-02,1449000,주식회사 모노플로우,에듀테크
매산초등학교,[카드]선도학교 운영용 에듀테크 물품 구입,2025-11-26,1197000,(주)아이스크림미디어,에듀테크
현대청운중학교,2025년 디지털 선도학교 운영을 위한 에듀테크 구입 신청,2025-10-28,1166000,아이티존(주),에듀테크
현대고등학교,[구입] 2025학년도 에듀테크(마이클) 구입 대금 지급,2025-10-27,1550000,테크빌교육(주),에듀테크
울산양정초등학교,"[카드(S2B), 12] 2025학년도 공간재구조화 사업 학생 참여형 에듀테크 프로그램 구",2025-10-27,2550000,올댓스쿨 주식회사,에듀테크
주전초등학교,디지털기반 학생 맞춤교육을 위한 에듀테크 구입,2025-09-18,2394000,주식회사 모노플로우,에듀테크
삼정초등학교,디지털 기반 학생 맞춤교육 선도학교 활용 에듀테크 구입,2025-09-18,2043000,테크빌교육(주),에듀테크
약사가온유치원,유아용 에듀테크 프로그램 구독권 학교장터 구입비,2025-09-02,1044900,(주)에디온,에듀테크
대현고등학교,[법인카드]교수-학습활동 자료 개발을 위한 에듀테크(인공지능 프로그램) 사용권 구입(Cha,2025-07-16,1629600,주식회사 교육의정석,에듀테크
울산양정초등학교,"[카드(S2B), 27] 2025학년도 디지털 선도학교 교원 에듀테크(챗gpt) 구입비 지",2025-07-04,1783500,스트로베리필즈,에듀테크
다운초등학교,디지털 기반 학생 맞춤형 선도학교 운영 수업지원 에듀테크 구입(ZEP 퀴즈),2025-06-17,1200000,주식회사 ZEP,에듀테크
연암중학교,2025학년도 AI코스웨어 및 에듀테크 활용 수업 프로그램 구입,2025-05-21,2932800,S2B(학교장터 선결제),에듀테크
호계초등학교,2025학년도 코스웨어 및 에듀테크 구입,2025-05-16,11562000,나이스쿨,에듀테크
내황초등학교,디지털 선도학교 운영을 위한 에듀테크 구입(S2B),2025-05-12,2730000,(주)에듀에이드,에듀테크
삼정초등학교,디지털 기반 학생 맞춤교육 선도학교 AI웹툰 제작 에듀테크 구입비 지급,2025-05-12,1000000,주식회사 툰스퀘어,에듀테크
달천고등학교,2025학년도 영어과 에듀테크 학습 프로그램 구입(카드),2025-05-07,1200000,주식회사 클래스카드,에듀테크
여천초등학교,[카드]이음뜰학교 운영을 위한 에듀테크 구입비 지출,2025-05-07,1107000,(주)아이스크림미디어,에듀테크
현대중학교,2025학년도 2학년 창의적체험활동(자율활동) 에듀테크 활용 수업 강사료 지급,2025-02-14,8960000,(주)와이즈교육,에듀테크
구영중학교,2024학년도 질문하는 수업 소프트웨어(에듀테크)(챗GPT) 구입,2024-09-19,1196000,주식회사 모노플로우,에듀테크
신정고등학교,2024년 디지털 선도학교 에듀테크 구입,2024-06-12,1188000,(주)피디에프오션,에듀테크
삼정초등학교,2024학년도 AI기반 에듀테크 미래교실 운영 재료 구입,2024-05-22,1457000,현대교재사,에듀테크
삼정초등학교,2024학년도 AI기반 에듀테크 미래교실 운영 재료 추가 구입,2024-05-16,2845000,"(주)이베이코리아(지마켓,옥션)",에듀테크
삼정초등학교,2024학년도 AI기반 에듀테크 미래교실 운영 재료 구입,2024-05-16,1558000,(주)로보메이션,에듀테크
고헌중학교,2024학년도 에듀테크 수업도구 구입,2024-05-01,1180080,(주)미리디,에듀테크
삼정초등학교,2024학년도 AI 기반 에듀테크 미래교실 수업 운영 물품 구입(이동공구상자),2024-04-29,1540000,승민테크,에듀테크
삼정초등학교,2024학년도 AI 기반 에듀테크 미래교실 수업 운영 물품 구입,2024-04-29,3499950,"(주)이베이코리아(지마켓,옥션)",에듀테크
삼정초등학교,에듀테크 활용 수업에 필요한 크롬북 구입,2024-04-15,1420000,주식회사 에스인,에듀테크
명촌초등학교,2024학년도 디지털 선도학교 에듀테크 매쓰홀릭 프로그램 구입,2024-04-15,10692000,테크빌교육(주),에듀테크
현대고등학교,2024년 에듀테크(패들렛) 구입비 지급(학교카드),2024-04-11,1068128,PADLET* PADLET SOFTWAR,에듀테크
울산외국어고등학교,2024학년도 에듀테크활용 수업을 위한 도구(소프트웨어) 구입비 지출,2024-04-03,1019160,(주)미리디,에듀테크
현대중학교,2024학년도 2학년 자율활동 에듀테크 활용 수업 강사료 지급,2024-03-04,9205000,(주)와이즈교육,에듀테크
방어진초등학교,2023. 창의인성교육 및 놀이활동을 위한 에듀테크 기자재 구입,2024-02-28,9584000,나라장터(조달청),에듀테크
울산중앙초등학교,2023. 에듀테크 기반 진로체험Day 운영,2023-11-16,4862000,STEAM교육컨텐츠연구소,에듀테크
울산과학고등학교,(카드)(창의재단내실화)2023 에듀테크 활용교육 SW AI 재료 구입비 지출,2023-11-13,1320000,생물나라,에듀테크
천곡중학교,에듀테크 활용 공모전 및 전시회 상품 구입비 지출[카드],2023-10-31,1418430,(주)판촉사랑,에듀테크
울산외국어고등학교,2023. 미래형 교실수업개선 에듀테크 활용 행사 물품구입비 지출,2023-05-14,1127000,(주)신세계 센텀시티점,에듀테크
방어진초등학교,2023학년도 정책연구학교 에듀테크 기자재 구입,2023-04-04,6935390,나라장터(조달청),에듀테크
태화초등학교,교실수업개선 연구학교 에듀테크 구입,2023-04-03,2000000,주식회사 클래스팅,에듀테크
성신고등학교,2022 에듀테크 선도고교 메이커룸 환경개선 격벽 설치비 지급,2023-01-31,2608760,(주)경진건설,에듀테크
성신고등학교,2022 에듀테크 선도고교 스마트 교실 IOT 물품 구입비 지급(4621),2023-01-05,1143970,이베이코리아 유한책임회사(지마켓),에듀테크
성신고등학교,2022 에듀테크 선도고교 실외 디지털 게시판 조달구입비 지급,2022-12-01,22118800,주식회사 에이치앤티(구 하람),에듀테크
성신고등학교,2022 에듀테크 선도고교 인공지능 IOT 물품 구입비 지급(4621),2022-11-24,1384500,이베이코리아 유한책임회사(지마켓),에듀테크
성신고등학교,2022 에듀테크 선도고교 성신고등학교 메타버스 제작 및 활용 비용 지급,2022-11-15,13500000,샌키스트,에듀테크
성신고등학교,2022 에듀테크 선도고교 디지털교과서 제작 및 활용 프로그램 구입비 지급,2022-10-24,5610000,키키소프트,에듀테크
성신고등학교,2022 에듀테크 선도고교 및 교과 특성화 기념품비 지출(4621),2022-09-30,2499900,우아한이웃(아린기프트),에듀테크
성신고등학교,2022 에듀테크 선도고교 교원 역량 강화 연수 운영비 지급(4621),2022-07-11,1170300,이베이코리아 유한책임회사(지마켓),에듀테크
성신고등학교,2022 에듀테크 선도고교 교원 역량 강화 연수 운영비 지급(4621),2022-07-05,1063400,은하도예공방,에듀테크
삼신초등학교,취약계층 학생 에듀테크 지원사업 학습 콘텐츠 이용료 지급,2021-11-24,1185000,(주)아이스크림에듀,에듀테크
성신고등학교,2021에듀테크 선도고교 비품 구입비(노트북) 지급,2021-11-09,24983160,PC와 프린터,에듀테크
성신고등학교,2021에듀테크 선도고교 비품 구입비(칠판) 지급(4621),2021-11-04,3336000,지아이엘,에듀테크
성신고등학교,2021에듀테크 선도고교 비품 구입비(플립 및 TV) 지급(4621),2021-10-28,21310620,11번가,에듀테크
성신고등학교,2021에듀테크 선도고교 비품 구입비(노트북 보관함 ) 지급(4621),2021-10-28,2190000,우리학교,에듀테크
