계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
인천-5e321946037d,용역,AI디지털 선도학교 운영 교직원 에듀테크 (2명) 추가 구독,2026-07-23,400000,인천광역시교육청 인천학익초등학교,인천학익초등학교,(주)아이젠테크,7321056,초등학교,인천광역시,
인천-54a8ce79a999,물품,2026년 에듀테크 활용 소프트웨어(chat GPT 7월분) 구입,2026-07-22,26360,인천광역시교육청 산곡중학교,산곡중학교,ChatGPT_NICE(구),7331069,중학교,인천광역시,
인천-b8ff761d5c66,용역,AI디지털 선도학교 운영 교직원 에듀테크(구글AI PRO) 5개월 구독,2026-07-14,3200000,인천광역시교육청 인천학익초등학교,인천학익초등학교,(주)아이젠테크,7321056,초등학교,인천광역시,
인천-a5bd9991e78b,물품,2026 디지털 튜터 보조수업관련 에듀테크 지출(영상편집 프로그램),2026-07-14,303600,인천광역시교육청 선화여자중학교,선화여자중학교,(주)보이저엑스,7321076,중학교,인천광역시,
인천-2f5d45448048,물품,에듀테크용 소프트웨어 이용권 구입비 지급 (S2B),2026-07-09,1056000,인천광역시교육청 인천세원고등학교,인천세원고등학교,주식회사 데이터드리븐,7310369,고등학교,인천광역시,
인천-7b7bbf8a09e5,물품,(카드)[AI]2026년 AI융합교육 에듀테크 라이센스 구입(수업용)(2026.7.6.),2026-07-06,172640,인천광역시교육청 북인천여자중학교,북인천여자중학교,ANTHROPIC,7331215,중학교,인천광역시,
인천-99e8c5ca5d46,물품,[카드]2026년 에듀테크 교육지원을 위한 교육자료(패들렛) 구입비 지급,2026-07-06,99000,인천광역시교육청 인천명현초등학교,인천명현초등학교,PADLET* PADLED SOFTWAR,7331191,초등학교,인천광역시,
인천-222d23de7945,물품,에듀테크 활용 교육을 위한 유료툴 구입비 지급(어도비),2026-07-03,62700,인천광역시교육청 계산중학교,계산중학교,에이마스,7331212,중학교,인천광역시,
인천-bb42ec3000ca,용역,2026학년도 26.7 ~27.2 에듀테크 활용 리로스쿨 프로그램 이용료 지급,2026-07-03,2904000,인천광역시교육청 인천상정고등학교,인천상정고등학교,주식회사 리로소프트,7310342,고등학교,인천광역시,
인천-7b8c9218e5f6,물품,에듀테크 활용 교육을 위한 유료툴 구입비 지급(어도비),2026-07-01,62700,인천광역시교육청 계산중학교,계산중학교,에이마스,7331212,중학교,인천광역시,
