회계연도,기관명,계약방법,구분,계약명,계약일,계약금액,계약상대자,키워드
2023,고촌고등학교,1인수의,물품,에듀테크 활용 융합수업 물품 구입(1/2),2023-06-30,469100,지마켓,에듀테크
2023,고촌고등학교,1인수의,물품,에듀테크 활용 융합수업 물품 구입(2/2),2023-06-30,86550,예스이십사,에듀테크
2023,위례중앙초등학교,1인수의,물품,디지털 창의역량교육 실천학교 에듀테크 활용 수업 재료 구입,2023-06-30,1484500,이베이코리아 유한책임회사,에듀테크
2023,정발중학교,1인수의,물품,2023 에듀테크 교육연구회(F.I.T.) 프로그램 구입(7월분 추가),2023-06-30,15820,북크리에이터,에듀테크
2023,송삼초등학교,1인수의,물품,2023 전문적학습 공동체 에듀테크 활용 및 수업지원 물품 구입비 지급,2023-06-30,627580,11번가 주식회사,에듀테크
2023,마지초등학교,1인수의,물품,1학년 에듀테크 기반 수업 운영물품 및 학습 물품 구입,2023-06-30,419000,(주) 아이스크림미디어,에듀테크
2023,호수초등학교,1인수의,물품,2023학년도 에듀테크 사업 운영을 위한 협의회 다과비 지급,2023-06-30,88600,백석)사월달,에듀테크
2023,매송중학교,1인수의,물품,(디지털 교육 클래스)에듀테크 교재 구입,2023-06-30,640000,예스24,에듀테크
2023,다원학교,1인수의,물품,2023학년도 1학기 미래교육(에듀테크) 연수 다과(토스트 외 1종) 구입,2023-06-30,182500,에그드랍 이천터미널점,에듀테크
2023,중산초등학교,1인수의,물품,유치원 2023 6월 에듀테크 미래교육-코딩 프로그램 사용비 지급,2023-06-29,440000,로보키즈,에듀테크
2023,고촌고등학교,1인수의,물품,에듀테크 활용 융합수업 물품 구입,2023-06-29,307190,지마켓,에듀테크
2023,능곡고등학교,1인수의,물품,[학교자율과제]에듀테크 기반 신체활동 프로그램 물품 구입(농구공 외 1종),2023-06-29,450000,정발산스포츠,에듀테크
2023,지산중학교,1인수의,물품,에듀테크 활용 수업 관련 도서 구입(2차),2023-06-29,1467100,(주)교보문고,에듀테크
2023,파주초등학교,1인수의,물품,2023학년도 미래형 교과서 선도학교 에듀테크 콘텐츠 구입,2023-06-29,4257000,(주)앱플랫폼,에듀테크
2023,민락초등학교,1인수의,물품,2023 1학년 에듀테크 교육과정 운영 물품 구입,2023-06-29,379200,(주)아이스크림미디어,에듀테크
2023,다원학교,1인수의,물품,2023학년도 1학기 미래교육(에듀테크) 연수 다과(너트바 외 4종) 구입,2023-06-29,174180,이마트,에듀테크
2023,부천여월초등학교,1인수의,물품,2023학년도 에듀테크 활용 동료 장학 사후협의회 운영비(1학년),2023-06-29,40000,메가엠지씨커피 부천여월점,에듀테크
2023,안현초등학교,1인수의,물품,2023년 미래교육 에듀테크 전학공 교사 연수 및 1학기 자율과제 활용 평가 ...,2023-06-28,207500,와드커피,에듀테크
2023,의왕중학교,1인수의,물품,(시) 2023 에듀테크 수업 물품 구입,2023-06-28,341230,"(주)이베이코리아(G마켓,옥션)",에듀테크
2023,양수중학교,1인수의,물품,[S2B학교장터 카드] 2023 에듀테크 교구 및 기자재 구입,2023-06-28,993000,주식회사 빛나는교육,에듀테크
2023,서정초등학교,1인수의,물품,서정초 에듀테크 기반 미래교육 역량 강화 연수 및 협의회 물품 구입,2023-06-28,70000,고양홈마트,에듀테크
2023,능곡고등학교,1인수의,물품,2023학년도 에듀테크 기반 진학지도 문구류 구입,2023-06-27,98620,쿠팡(주),에듀테크
2023,은행중학교,1인수의,물품,[성남미래교육]스마트교실 및 디지털 교육 운영-에듀테크 교육 운영비,2023-06-27,1350000,에이아이코딩로봇,에듀테크
2023,호암초등학교,1인수의,물품,[에듀테크 미래교육(시보조)]2023학년도 5학년 에듀테크 미래교육 운영 물품,2023-06-27,725990,이베이코리아 유한책임회사,에듀테크
2023,갈뫼중학교,1인수의,물품,에듀테크(AI)활용수업 물품 구입,2023-06-27,467900,주식회사 지마켓,에듀테크
2023,고촌고등학교,1인수의,물품,에듀테크 활용 융합수업 물품 구입,2023-06-27,986900,생물나라,에듀테크
2023,위례고등학교,1인수의,용역,[고교학력향상사업] 에듀테크 활용 학력향상 프로그램 운영비(노트북 대여),2023-06-27,990000,이지엠솔루션,에듀테크
2023,의정부효자초등학교,1인수의,물품,(시보조) 에듀테크 교육과정 운영 물품 구입,2023-06-27,113200,11번가(주),에듀테크
2023,부림중학교,1인수의,물품,전문적학습공동체(AI에듀테크수업연구) 도서 구입,2023-06-27,97110,예스이십사주식회사,에듀테크
2023,청산중학교,1인수의,물품,2023학년도 AI 활용 맞춤형 교육 - AI 코스웨어 및 에듀테크 체험1 사전답사 ...,2023-06-27,13500,서울식물원푸드,에듀테크
2023,은행중학교,1인수의,물품,[성남미래교육]스마트교실 및 디지털 교육 운영-에듀테크 라이센스 및 디...,2023-06-27,1017060,PADLET,에듀테크
2023,전곡중학교,1인수의,물품,에듀테크 기반 수업 프로그램 구입,2023-06-27,94591,ZOOM.US,에듀테크
2023,갈뫼중학교,1인수의,물품,에듀테크(AI)활용수업 물품 구입,2023-06-26,192100,주식회사 지마켓,에듀테크
2023,능곡고등학교,1인수의,물품,[에듀테크]2023학년도 에듀테크 기반 수업을 위한 소모품 구입,2023-06-26,207610,쿠팡(주),에듀테크
2023,이충중학교,1인수의,물품,2023학년도 정보교과 에듀테크 수업 물품 구입,2023-06-26,1443500,지마켓글로벌 유한책임회사,에듀테크
2023,상일초등학교,1인수의,물품,교사 동호회(에듀테크) 물품 구입,2023-06-26,152450,주식회사 지마켓,에듀테크
2023,삼현초등학교,1인수의,용역,6월 유치원 에듀테크 체험활동비 지급,2023-06-26,320000,스마트앤플레이,에듀테크
2023,의정부효자초등학교,1인수의,물품,(시보조) 에듀테크 교육과정 운영 물품 구입,2023-06-26,7650400,네오피아 강북지사,에듀테크
2023,능곡고등학교,1인수의,용역,2023학년도 에듀테크 기반 미래교육 운영 관련 플랫폼 구입,2023-06-25,160800,미리캔버스,에듀테크
2023,고촌고등학교,1인수의,물품,에듀테크 활용 융합수업 물품 구입,2023-06-23,900000,궁구미컴퓨터,에듀테크
2023,의정부청룡초등학교,1인수의,물품,(카드)에듀테크 미래교육운영을 위한 물품 구입,2023-06-23,4350000,아이티존(주),에듀테크
2023,수진중학교,1인수의,용역,"(에듀테크) 미술교과 에듀테크, 소프트웨어 프로그램 연간이용료 지급",2023-06-23,71120,padlet,에듀테크
2023,삼현초등학교,1인수의,물품,2023학년도 6학년 에듀테크 미래교육 교구(코드위즈) 구입,2023-06-23,2772000,도담교육,에듀테크
2023,호암초등학교,1인수의,물품,[에듀테크 미래교육(시보조)]2023학년도 3학년 에듀테크 미래교육 운영 물품,2023-06-23,777500,(주)아이스크림미디어,에듀테크
2023,위례고등학교,1인수의,물품,[고교학력향상사업] 에듀테크 활용 학력향상 프로그램 운영비,2023-06-23,57550,(주)미리디,에듀테크
2023,청산중학교,1인수의,물품,2023학년도 AI 활용 맞춤형 교육 - AI 코스웨어 및 에듀테크 체험2 사전답사 ...,2023-06-23,42000,롯데월드목 용호낙지,에듀테크
2023,심원고등학교,1인수의,물품,[시보조-고교학점제연구선도학교][일반고맞춤형] 2023 에듀테크 수업사례 ...,2023-06-23,167400,주식회사 지마켓,에듀테크
2023,의정부여자고등학교,1인수의,물품,'에듀테크 수업 매체 연구' 전문적학습공동체 협의회비 지출,2023-06-23,25000,뮤,에듀테크
2023,이충초등학교,1인수의,물품,학교자율과제(1학년에듀테크활용교육)물품 구입,2023-06-23,272000,(주)아이스크림몰,에듀테크
2023,오포초등학교,1인수의,물품,2023 에듀테크 수업 도구 구입(퀴즈엔),2023-06-23,871200,(주)소프트앤,에듀테크
2023,고덕초등학교,1인수의,물품,6학년 학교자율과정 에듀테크 준비물 구입 ( 터틀 로봇 Blue+USB 동글 ),2023-06-22,1035000,이베이코리아(지마켓 옥션),에듀테크
2023,고덕초등학교,1인수의,물품,6학년 학교자율과정 에듀테크 준비물 구입 (네오봇),2023-06-22,3750000,(주)아이스크림미디어,에듀테크
2023,의순초등학교,1인수의,물품,2023 미래교육협력지구사업(에듀테크) 운영 물품(교구) 구입,2023-06-22,3244500,인사이언스,에듀테크
2023,늘봄초등학교,1인수의,물품,과학실 모둠수업 및 에듀테크 수업을 위한 학생 발표용 준비물 구입,2023-06-22,321760,11번가,에듀테크
