회계연도,기관명,계약명,계약일,계약금액,계약방법,키워드
2023,동일미래과학고등학교,디지털 선도학교 운영 에듀테크(리로스쿨) 라이센스 구독비,2024-01-02,3080000,1인수의,에듀테크
2023,동일미래과학고등학교,디지털 선도학교 운영 에듀테크(ALC학습분석 시스템) 기술 사용 계약,2024-02-02,26863000,2인이상수의,에듀테크
2023,하백초등학교,[g2b]디지털 선도학교 운영을 위한 에듀테크 라이센스 이용 계약 체결,2023-12-20,9997000,1인수의,에듀테크
2023,광주효광중학교,(S2B)2023년 에듀테크 활용 미래놀이 공간 가상 스포츠교실 비품 구입,2023-12-21,2657000,1인수의,에듀테크
2023,광주효광중학교,(G2B)에듀테크 활용 미래놀이 공간 가상 증강현실 스포츠교실 비품(멀티미디어 학습장치),2023-10-16,28000000,1인수의,에듀테크
2023,광주효광중학교,(G2B)에듀테크 활용 미래놀이 공간 가상 증강현실 스포츠교실 비품(비디오프로젝터) 구입,2023-10-16,2180000,1인수의,에듀테크
2023,광주효광중학교,(S2B)2023년 에듀테크 활용 미래놀이 공간 가상 스포츠교실 구축 공사 실시,2023-11-28,9000000,1인수의,에듀테크
2023,정암초등학교,에듀테크 활용 미래놀이공간(스포츠교실)구축공사,2024-01-16,13554230,1인수의,에듀테크
2023,동일미래과학고등학교,디지털 선도학교 에듀테크 라이센스(패들넷 백팩) 소프트웨어 이용 구독 용역,2024-01-11,2100000,1인수의,에듀테크
2023,동일미래과학고등학교,디지털 선도학교 운영 에듀테크 소트프웨어(Adobe CCE) 구독 서비스 이용,2023-12-01,5060000,1인수의,에듀테크
2023,전남중학교,[S2B학교장터] 2023학년도 학교로 찾아가는 에듀테크 체험교실 프로그램 용역 계약,2023-12-07,8700000,1인수의,에듀테크
2023,일동초등학교,[G2B]유치원 에듀테크활용 미래놀이공간 태블릿컴퓨터 충전함(소형기기용충전기) 구입비 지급,2023-12-05,1477930,1인수의,에듀테크
2023,일동초등학교,[G2B]유치원 에듀테크활용 미래놀이공간 태블릿컴퓨터 구입비 지급,2023-12-05,4722360,1인수의,에듀테크
2023,일동초등학교,[S2B]초등 에듀테크활용 미래놀이공간 체육용품 및 이동형 함체 구입비 지급,2023-11-07,3300000,1인수의,에듀테크
2023,일동초등학교,[G2B]유치원 에듀테크활용 미래놀이공간 멀티미디어학습장치 구입비 지급,2023-11-06,21113400,1인수의,에듀테크
2023,일동초등학교,[G2B]초등 에듀테크활용 미래놀이공간 멀티미디어교육용소프트웨어 구입비 지급,2023-11-06,3317820,1인수의,에듀테크
2023,일동초등학교,[카드]초등 에듀테크활용 미래놀이공간 체육용품 구입비 지급(닌텐도),2023-11-16,1255960,1인수의,에듀테크
2023,일동초등학교,[G2B]초등 에듀테크활용 미래놀이공간 비디오프로젝터 구입비 지급,2023-11-06,2191770,1인수의,에듀테크
2023,빛고을고등학교,에듀테크 IBT실 기자재(전자칠판) 구입비 지출(G2B),2023-10-30,6050000,1인수의,에듀테크
2023,빛고을고등학교,에듀테크 IBT실 기자재(칠판보조장) 구입비 지출(G2B),2023-10-30,4400000,1인수의,에듀테크
2023,빛고을고등학교,에듀테크 IBT실 기자재(보조칠판) 구입비 지출(G2B),2023-10-30,1300000,1인수의,에듀테크
2023,화정남초등학교,자치학교 미래교육 운영을 위한 에듀테크 교구 구입,2023-10-27,2640000,1인수의,에듀테크
2023,일동초등학교,[S2B]초등 에듀테크활용 미래놀이공간 텔레비전 이동식거치대 구입비 지급,2023-11-07,1100000,1인수의,에듀테크
2023,조선대학교부속고등학교,2023학년도 디지털 선도학교 관련 에듀테크 교보문고 전자도서관 구축 및 ebook 대여료,2023-11-13,2000000,1인수의,에듀테크
2023,일동초등학교,[G2B]초등 에듀테크활용 미래놀이공간 텔레비전 구입비 지급,2023-11-06,3518900,1인수의,에듀테크
2023,수문초등학교,에듀테크 창의놀이터 day 프로그램 운영비 지급,2023-11-01,2000000,1인수의,에듀테크
2023,광주효광중학교,(G2B)에듀테크 활용 미래놀이 공간 가상 증강현실 스포츠교실 비품(텔레비전) 구입,2023-10-17,3900000,1인수의,에듀테크
2023,광주효광중학교,(S2B) 에듀테크 활용 미래놀이 공간 가상 증강현실 스포츠교실 비품(닌텐도 스위치 올레드,2023-10-17,1200000,1인수의,에듀테크
2023,영천초등학교,(S2B) 에듀테크(클라우드스쿨) 라이센스 구매 전자계약 체결,2023-09-19,12177000,1인수의,에듀테크
2023,화정남초등학교,자치학교 미래교육 운영관련 에듀테크 활용 교육 교구 임대료,2023-09-06,3979800,1인수의,에듀테크
2023,조선대학교부속고등학교,2023학년도 디지털 선도학교 관련 교직원 에듀테크 프로그램 구입비,2023-09-20,3697980,1인수의,에듀테크
2023,빛고을고등학교,에듀테크 자치학교 교과활동지원 플루터 활용 물품 구입비 지출,2023-09-20,1600000,1인수의,에듀테크
2023,영천초등학교,(S2B) 에듀테크(투닝) 플랫폼 사용권 구매,2023-09-19,6072000,1인수의,에듀테크
2023,영천초등학교,(S2B) 에듀테크(보카톡톡) 사용권 구매,2023-09-19,1800000,1인수의,에듀테크
2023,수문초등학교,에듀테크 자치학교 소프트웨어실 학생용 노트북 컴퓨터 구입,2023-09-18,1320000,1인수의,에듀테크
2023,전남중학교,[카드] 에듀테크 활용교육 자치학교 프로그램 운영비 집행(삼색 볼펜),2023-09-12,1300000,1인수의,에듀테크
2023,하남중학교,2023 에듀테크 활용 미래놀이 공간 확충 물품(모션탭) 구입,2023-07-28,5760000,1인수의,에듀테크
2023,하남중학교,[G2B]2023년 에듀테크 활용 미래놀이 공간 확충 멀티미디어학습장치 구입,2023-07-24,44000000,1인수의,에듀테크
2023,전남중학교,[카드] 에듀테크 자치학교 인프라 구축을 위한 물품 구입,2023-06-09,8172000,1인수의,에듀테크
2023,수문초등학교,[s2b] 2023학년도 자치학교 에듀테크 교구 구입,2023-03-30,5863900,1인수의,에듀테크
2023,빛고을고등학교,에듀테크 교과활동지원 수업 교구 구입(S2B),2023-03-22,1125000,1인수의,에듀테크
2024,금호초등학교,디지털 선도학교 에듀테크 구입(페들렛),2025-01-23,3040000,1인수의,에듀테크
2024,광주광역시교육청,2024 (가칭) 에듀테크 미래교육 박람회 대행 용역,2024-09-10,203775000,1인수의,에듀테크
2024,빛고을고등학교,[카드]2025년 에듀테크 수업과 평가를 위한 교직원 워크숍 운영 물품 구입비 지출,2024-12-18,3150000,1인수의,에듀테크
2024,전남중학교,[S2B] 2024학년도 찾아가는 에듀테크 체험교실 프로그램 운영비 지출,2024-12-13,6000000,1인수의,에듀테크
2024,빛고을고등학교,[에듀테크]정보과 에듀테크 활용을 위한 교구 구입,2024-12-23,1672000,1인수의,에듀테크
2024,연제초등학교,에듀테크를 활용한 미래놀이 공간 구축 비품(공기살균기) 구입(G2B),2024-12-23,6930000,1인수의,에듀테크
2024,광주제일고등학교,2024학년도 고교학점제 운영을 위한 에듀테크 프로그램(chat GPT 3개월 구독권)),2024-12-09,1671000,1인수의,에듀테크
2024,연제초등학교,에듀테크 미래놀이공간(가상스포츠교실) 비품(소프트웨어5종) 구입(G2B),2024-11-27,16500000,1인수의,에듀테크
2024,연제초등학교,에듀테크 미래놀이공간(가상스포츠교실) 비품(멀티미디어학습장치) 구입(G2B),2024-11-27,22000000,1인수의,에듀테크
2024,연제초등학교,에듀테크 미래놀이공간(가상스포츠교실) 비품(증강현실시스템 및 VR자전거) 구입(S2B),2024-11-27,15000000,1인수의,에듀테크
2024,연제초등학교,에듀테크 미래놀이공간(가상스포츠교실) 비품(소프트웨어1종) 구입(G2B),2024-11-27,9900000,1인수의,에듀테크
2024,연제초등학교,에듀테크 미래놀이공간(가상스포츠교실) 비품(비디오프로젝터) 구입(G2B),2024-11-27,5280000,1인수의,에듀테크
2024,화정남초등학교,2024 자치학교 운영 에듀테크 활용교육 실시,2024-12-09,5832000,1인수의,에듀테크
2024,화정남초등학교,[카드] 2024 2학기 자치학교 에듀테크 활용교육 활성화 방안 협의회 실시,2024-11-19,1062000,1인수의,에듀테크
2024,동일미래과학고등학교,디지털 선도학교 운영 에듀테크 및 AI코스웨어(AI 국어 학습 튜터 레서) 이용료,2024-07-09,3120000,1인수의,에듀테크
2024,광산중학교,(S2b)2024 디지털 선도학교 영어과 에듀테크 구입비 지출,2024-07-23,3800000,1인수의,에듀테크
2024,조선대학교부속중학교,디지털선도학교 에듀테크 구입,2024-07-10,2592000,1인수의,에듀테크
2024,동일미래과학고등학교,디지털 선도학교 운영 에듀테크 및 AI코스웨어(패들렛 플래티넘) 이용료,2024-07-04,1740000,1인수의,에듀테크
2024,화정남초등학교,2024 자치학교 운영 에듀테크 활용교육 실시 교구 대여금,2024-06-13,1859000,1인수의,에듀테크
2024,동일미래과학고등학교,디지털 선도학교 운영 에듀테크 및 AI코스웨어(AI투닝학교) 이용료,2024-07-04,6682000,1인수의,에듀테크
2024,동일미래과학고등학교,디지털 선도학교 운영 에듀테크 및 AI코스웨어(노크) 이용료,2024-07-04,2607000,1인수의,에듀테크
2024,문화중학교,2024년 교육용 소프트웨어(에듀테크) 구입,2024-06-19,2350000,1인수의,에듀테크
2024,신창초등학교,(S2B)2024년 교육용 소프트웨어(AI 에듀테크 캔바 프로외 2종) 구입,2024-06-26,1044000,1인수의,에듀테크
2024,조선대학교부속중학교,디지털선도학교 에듀테크 구입,2024-06-24,2175000,1인수의,에듀테크
2024,동일미래과학고등학교,디지털선도학교 운영 에듀테크 및 AI코스웨어(e-book) 구독료,2024-05-21,2600000,1인수의,에듀테크
2024,서일초등학교,2024학년도 교육용 소프트웨어(AI 에듀테크 유투브) 구입비 지출,2024-06-10,2793000,1인수의,에듀테크
2024,수문초등학교,자치학교(에듀테크)운영 교구 구입(태블릿컴퓨터),2024-05-21,5890000,1인수의,에듀테크
2024,빛고을고등학교,에듀테크 자치학교 교과활동지원 플루터 활용 물품 구입,2024-05-29,1500000,1인수의,에듀테크
2024,조선대학교부속고등학교,2024 디지털 선도학교 에듀테크 플랫폼[Salesforce Salck] 구입비,2024-05-21,16000000,1인수의,에듀테크
2024,상무중학교,2024학년도 디지털 선도학교 운영을 위한 에듀테크 유튜브 프리미엄 구입(S2b),2024-05-21,2397600,1인수의,에듀테크
2024,전남중학교,[S2B학교장터] 2024년 에듀테크 자치학교 키위티-키위런 이용권 구매,2024-05-21,1200000,1인수의,에듀테크
2024,전남중학교,[S2B학교장터] 2024학년도 에듀테크 자치학교 원아워 라이센스 구입,2024-05-20,1049990,1인수의,에듀테크
2024,전남중학교,에듀테크 자치학교 예산 집행(매쓰홀릭T 라이선스 구입),2024-05-09,1848000,1인수의,에듀테크
2024,전남중학교,[카드] 에듀테크 자치학교 예산 집행(와우아이디어스 기관 요금 결재),2024-04-29,2640000,1인수의,에듀테크
2024,전남중학교,[카드] 에듀테크 자치학교 필요 물품 구입(노트북),2024-04-22,7400000,1인수의,에듀테크
2024,광산중학교,2024 디지털 선도학교 운영을 위한 에듀테크 구입,2024-05-07,4400000,1인수의,에듀테크
2024,조선대학교부속중학교,에듀테크 활용 수업비품 구입,2024-04-17,1200000,1인수의,에듀테크
2024,빛고을고등학교,AIㆍ에듀테크를 활용한 진로진학상담프로그램 바이브온(VIBEON) 구입(S2B),2024-04-04,3000000,1인수의,에듀테크
2025,광주풍향초등학교,[카드] 2025년 광주아이온 운영학교 관련 교육용 에듀테크 구입,2026-02-12,1466600,1인수의,에듀테크
2025,광주체육고등학교,[S2B] 에듀테크 활용 미래놀이공간 냉난방기 설치,2026-02-26,6930000,1인수의,에듀테크
2025,광주과학고등학교,(G2B) 2025학년도 에듀테크 활용 미래놀이 공간 확충 지원 사업 콘텐츠관리소프트웨어,2025-12-02,83827150,1인수의,에듀테크
2025,광주수피아여자고등학교,"교과부서별 활동 물품 및 에듀테크, 어울림 물품 구입(11번가)",2026-01-02,1569860,1인수의,에듀테크
2025,송광중학교,에듀테크 활용 미래놀이공간 확충 운영 물품(아트보드) 구입 비용 지출,2025-12-31,1200000,1인수의,에듀테크
2025,송광중학교,에듀테크 활용 미래놀이공간 확충 운영 물품(전용교구세트) 구입 비용 지출,2025-12-22,1600000,1인수의,에듀테크
2025,송광중학교,에듀테크 활용 미래놀이공간 확충 운영 물품(냉난방기) 구입 비용 지출,2025-12-16,4169000,1인수의,에듀테크
2025,광주체육고등학교,[G2B] 에듀테크 기반 미래 놀이공간 설치 비품(교육용소프트웨어:올인원스포츠 VR) 구입,2026-01-12,4900000,1인수의,에듀테크
2025,광주체육고등학교,[S2B] 에듀테크 기반 미래 놀이공간 설치 비품(VR 자전거) 구입,2026-01-12,4000000,1인수의,에듀테크
2025,광주체육고등학교,[S2B] 에듀테크 기반 미래 놀이공간 설치 비품( VR 에듀 플러스) 구입,2026-01-12,1960000,1인수의,에듀테크
2025,광주체육고등학교,[S2B] 에듀테크 기반 미래 놀이공간 설치 비품(증강현실) 구입,2026-01-08,11000000,1인수의,에듀테크
2025,광주체육고등학교,[G2B] 에듀테크 기반 미래 놀이공간 설치 비품(멀티미디어학습시스템) 구입,2026-01-07,22000000,1인수의,에듀테크
2025,광주체육고등학교,[G2B] 에듀테크 기반 미래 놀이공간 설치 비품(교육용소프트웨어: 인지기능훈련 외 3종),2026-01-07,20000000,1인수의,에듀테크
2025,광주체육고등학교,[G2B] 에듀테크 기반 미래 놀이공간 설치 비품(비디오프로젝터) 구입,2026-01-06,5500000,1인수의,에듀테크
2025,송광중학교,에듀테크실 냉난방기 설치 비용 지출,2026-01-14,1500000,1인수의,에듀테크
2025,광주과학고등학교,2025학년도 에듀테크 활용 미래놀이 공간 확충 지원 사업 물품(영상정보디스플레이장치) 구,2025-12-31,6200000,1인수의,에듀테크
2025,송광중학교,에듀테크 활용 미래놀이공간 확충 운영 물품(3D모션시스템) 구입 비용 지출,2025-12-22,7900000,1인수의,에듀테크
2025,광주체육고등학교,[S2B] 에듀테크 활용 미래놀이공간 조성 공사,2025-12-15,21758000,1인수의,에듀테크
2025,광주체육고등학교,[S2B] 에듀테크 활용 미래놀이공간 조성 전기공사,2025-12-15,10307000,1인수의,에듀테크
2025,송광중학교,에듀테크 활용 미래놀이공간 확충 운영 물품(멀티미디어학습시스템) 구입 비용 지출,2025-12-16,27000000,1인수의,에듀테크
2025,송광중학교,에듀테크 활용 미래놀이공간 확충 운영 물품(교육용소프트웨어) 구입 비용 지출,2025-12-15,2700000,1인수의,에듀테크
2025,광주동명중학교,(카드) 2025학년도 광주동명중학교 자치학교 에듀테크 활용 독서활동 물품 구입,2025-12-22,1010160,1인수의,에듀테크
2025,광주동명중학교,2025학년도 1학년 에듀테크 활용 체험활동비 지급(명랑운동회),2025-12-18,1200000,1인수의,에듀테크
2025,광주과학고등학교,(G2B) 2025학년도 에듀테크 활용 미래놀이 공간 확충 지원 사업 물품(콘텐츠관리소프트,2025-12-02,9900000,1인수의,에듀테크
2025,광주광역시교육청교육연구정보원,2026년 광주아이온(AI-ON) 에듀테크 도구(심스페이스) 구입,2025-12-19,10270000,1인수의,에듀테크
2025,광주광역시교육청교육연구정보원,2026년 광주아이온(AI-ON) 에듀테크 도구(코들) 구입,2025-12-17,43000000,1인수의,에듀테크
2025,광주광역시교육청교육연구정보원,2026년 광주아이온(AI-ON) 에듀테크 도구(ZEP QUIZ)) 구입,2025-12-17,20000000,1인수의,에듀테크
