계약번호,구분,계약명,계약일,금액,수요기관,학교명,업체명,학교코드,급별,시도,상세URL
충북-15aaf9747e45,물품,[원인] 교육발전특구(AI 융합교육) 사업을 위한 교직원 에듀테크 구독권 구입(CHat G,2026-07-21,1716000,충청북도교육청 옥천고등학교,옥천고등학교,비케이 에듀,8000051,고등학교,충청북도,
충북-d684f5767448,물품,[원인] 교육발전특구(AI 융합교육) 사업을 위한 교직원 에듀테크 구독권 구입(클로드),2026-07-21,2856000,충청북도교육청 옥천고등학교,옥천고등학교,에듀넥스트,8000051,고등학교,충청북도,
충북-95260c94c9e8,물품,2026. AI선도학교 에듀테크 프로그램 구입,2026-07-16,6662500,충청북도교육청 제천디지털전자고등학교,제천디지털전자고등학교,위드스쿨(주),8000207,고등학교,충청북도,
충북-49a910cd7750,물품,"[원인,s2b] 과학과 교과활동 에듀테크 프로그램(ZEP Quiz Pro) 라이선 구입",2026-07-14,330000,충청북도교육청 제천여자중학교,제천여자중학교,올댓스쿨 주식회사,8031014,중학교,충청북도,
충북-7e7cb5ba1e57,물품,AI. 디지털 활용 선도학교 에듀테크 구입(패들렛),2026-07-13,1421000,충청북도교육청 성암초등학교,성암초등학교,올댓스쿨 주식회사,8081017,초등학교,충청북도,
충북-ac865d9270b4,물품,[카드_원인] 2026. 디지털선도학교 운영을 위한 에듀테크 라이선스(ChatGPT(학생용,2026-07-07,456000,충청북도교육청 동성고등학교,동성고등학교,아이티존(주),8000530,고등학교,충청북도,
충북-dbe80e789366,물품,[AI디지털활용선도학교]보드형 에듀테크(띵커벨),2026-07-06,60000,충청북도교육청 청원초등학교,청원초등학교,아이스크림미디어,8011321,초등학교,충청북도,
충북-ab6fa034d14f,물품,2026. 디지털선도학교 운영 에듀테크 라이선스 구입(어도비),2026-07-03,871200,충청북도교육청 동성고등학교,동성고등학교,(주)바움아이티,8000530,고등학교,충청북도,
충북-faa96ab7e015,물품,[S2B]맞춤형 학습지원을 위한 에듀테크 2차 구입(토도한글),2026-07-03,175500,충청북도교육청 영춘초등학교,영춘초등학교,주식회사 에누마코리아,8111021,초등학교,충청북도,
충북-94aa1b32f6c8,물품,[S2B]맞춤형 학습지원을 위한 에듀테크 2차 구입(마인크래프트),2026-07-03,268200,충청북도교육청 영춘초등학교,영춘초등학교,에듀넥스트,8111021,초등학교,충청북도,
충북-1610060c1842,물품,[S2B]맞춤형 학습지원을 위한 에듀테크 2차 구입(알공영어 및 수학),2026-07-03,966000,충청북도교육청 영춘초등학교,영춘초등학교,주식회사 디엔소프트,8111021,초등학교,충청북도,
충북-cf1ec58cf9e0,물품,[원인] 2026. AI·디지털 활용 선도학교 운영 에듀테크(클래스카드 teacher),2026-07-03,960000,충청북도교육청 양청중학교,양청중학교,주식회사 클래스카드,8011331,중학교,충청북도,
충북-501902606bd7,물품,2026. 증평중학교 SW영재학급 운영 에듀테크 플랫폼 구입,2026-07-02,297000,충청북도교육청 증평중학교,증평중학교,행복장터,8092014,중학교,충청북도,
충북-02569b8adefb,물품,[AI선도] 2026. 디지털 선도학교 활용 에듀테크 프로그램(ChatGPT) 구입(S2B,2026-07-02,228000,충청북도교육청 제천상업고등학교,제천상업고등학교,아이티존(주),8000121,고등학교,충청북도,
충북-ea0cd8202a45,물품,[원인] 2026. AI·디지털 연구학교 에듀테크 라이센스(사용권) 계정 연장,2026-06-30,190000,충청북도교육청 대소초등학교,대소초등학교,아이티존(주),8101018,초등학교,충청북도,
충북-679471a90fa2,물품,2026. 디지털선도학교 운영 AI코스웨어 및 에듀테크 (투닝),2026-06-29,2340000,충청북도교육청 진천상신초등학교,진천상신초등학교,툰스퀘어,8081053,초등학교,충청북도,
충북-d40c7f3acb25,물품,[원인] 교육발전특구(AI 디지털 융합교육) 운영을 위한 에듀테크 구독권 구입(S2B),2026-06-26,648000,충청북도교육청 옥천고등학교,옥천고등학교,제이로이,8000051,고등학교,충청북도,
충북-6f27e342fda8,물품,디지털 선도학교 에듀테크 프로그램 구입(제미나이 플러스),2026-06-25,92400,충청북도교육청 새터초등학교,새터초등학교,올아이피정보통신 주식회사,8011184,초등학교,충청북도,
충북-6c5aa733fb60,물품,디지털 선도학교 에듀테크 프로그램 구입(GPT GO),2026-06-25,129500,충청북도교육청 새터초등학교,새터초등학교,위드현 에듀테크,8011184,초등학교,충청북도,
충북-1d25d1903c14,물품,디지털 선도학교 에듀테크 프로그램 구입(아트봉봉스쿨),2026-06-25,2940000,충청북도교육청 새터초등학교,새터초등학교,주식회사 모노플로우,8011184,초등학교,충청북도,
충북-3db9b4be713b,물품,"[AI선도] 2026. 디지털 선도학교 활용 에듀테크 프로그램(제미나이울트라, 챗지피티 프",2026-06-25,3150000,충청북도교육청 제천상업고등학교,제천상업고등학교,위드플러스,8000121,고등학교,충청북도,
충북-8890965d0cd0,물품,교육용 에듀테크 도구 라이센스(퀴즈앤프로) 구입,2026-06-24,1440000,충청북도교육청 흥덕고등학교,흥덕고등학교,나이스쿨,8000200,고등학교,충청북도,
충북-4654aad8c796,물품,교육용 에듀테크 도구 라이센스(클리포) 구입,2026-06-24,792000,충청북도교육청 흥덕고등학교,흥덕고등학교,주식회사 데이터드리븐,8000200,고등학교,충청북도,
충북-a72548c9a4fe,물품,[원인]생성형 AI 및 교육용 에듀테크 소프트웨어 구입비 지출,2026-06-24,5856000,충청북도교육청 감곡초등학교,감곡초등학교,아이티존(주),8101015,초등학교,충청북도,
