시도,화면,안내문에 적힌 공개 범위,계약방법 범위,비고,확인일
서울,열린 서울교육 수의계약공개 + 계약현황(에듀파인연계),"수의계약공개: 100만원 이상 물품·용역·공사 수의계약, 매월 (근거: 각급학교 및 교육행정기관 계약업무 개선방안)",수의계약(2022~) · 입찰 포함(2020~2021 에듀파인연계),안내문은 100만원 이상이나 학교별 게시물에는 소액 계약이 함께 실려 있어 실제 자료는 소액을 포함한다,2026-09-16
부산,수의계약(1백만원 이상) K-에듀파인 자동연계,메뉴 이름 그대로 1백만원 이상 수의계약,수의계약만,자료가 2023년부터 있다,2026-09-16
대구,수의계약내역공개,안내문 없음(화면은 회원 세션이 필요해 자동 확인 불가),수의계약만,실제 자료는 소액을 포함한다(최소 250원),2026-09-16
인천,계약체결현황(K-에듀파인 연계),안내문에 금액 기준 없음,수의·입찰·조달 전체,소액 포함,2026-09-16
광주,수의계약공개(K-에듀파인),안내문에 금액 기준 없음,수의계약만,실제 자료는 100만원 이상만 있다. 원천이 2021년부터,2026-09-16
대전,계약체결현황(수의·입찰 모두 공개),안내문에 금액 기준 없음,수의·입찰,실제 자료는 100만원 초과만 있다. 서버가 잦은 요청을 거부한 적이 있어 느리게 받는다,2026-09-16
울산,수의계약공개방(자동연계),안내문에 금액 기준 없음,수의계약만,대부분 100만원 이상이나 소액도 일부(6%) 있다,2026-09-16
세종,계약정보공개(K-에듀파인 연계),안내문에 금액 기준 없음,수의·입찰·조달 전체,소액 포함,2026-09-16
경기,계약정보공개 › 계약체결(K-에듀파인 연계),안내문에 금액 기준 없음,수의·입찰·조달 전체,소액 포함(최소 10원). 시도 중 가장 낮은 기준이라 건수가 많다,2026-09-16
강원,수의계약내역공개,안내문에 금액 기준 없음,수의계약만,목록에 금액·계약상대자가 없다,2026-09-16
충북,계약현황(수의계약 포함),안내문에 금액 기준 없음,수의·입찰·조달 전체,소액 포함,2026-09-16
충남,계약체결 현황(수의계약 포함),안내문에 금액 기준 없음,수의·입찰,실제 자료는 100만원 초과만 있다,2026-09-16
전북,1인 수의계약현황,안내문에 금액 기준 없음,1인 수의계약만,실제 자료는 100만원 이상만 있다. 2026 회계연도만 수록(과거 연도 수집 중),2026-09-16
전남,계약정보공개(K-에듀파인 연계),안내문 확인 못 함(서버가 우리 IP를 차단 중),수의·입찰·조달 전체,소액 포함. 2026-08 이후 미수집,2026-09-16
경북,수의계약(K-에듀파인 자동연계),안내문에 금액 기준 없음,수의계약만,100만원 이상으로 조회해 받았다(사이트 기본 조건). 원천이 2020년 9월부터,2026-09-16
경남,계약체결 현황,"별도 메뉴 '수의계약(1백만원 이상)'이 있으나 우리는 전체 계약체결 현황을 받는다",수의·입찰·조달 전체,소액 포함,2026-09-16
제주,계약현황(연도별 엑셀),안내문에 금액 기준 없음,수의·입찰 전체,실제 자료는 100만원 이상만 있다,2026-09-16
